Latitude,Longitude,Date,Time,Chlorophyll RFU,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PC RFU,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,Altitude m,Barometer mmHg
25.90450,-80.13079,10/25/2024,14:19:44,4.01,42563.8,-1.242,40298.0,108.2,108.2,7.70,-1.783,25.83,40517.9,1.97,26337,256.36,0,8.36,-87.9,27.644,-1.257,-4.7,765.6
25.90446,-80.13067,10/25/2024,14:19:49,7.14,38798.6,-1.239,36748.6,108.2,108.1,7.40,-1.783,23.32,36947.5,-0.03,24016,237.87,0,8.36,-87.7,27.623,-1.220,-4.0,765.7
25.90442,-80.13053,10/25/2024,14:19:54,0.78,34203.9,-1.236,32398.5,108.2,108.1,7.45,-1.784,20.28,32573.7,7.32,21173,592.08,0,8.36,-87.7,27.620,-1.225,-4.0,765.7
25.90438,-80.13040,10/25/2024,14:19:59,0.39,42940.5,-1.237,40686.4,108.2,108.2,7.50,-1.783,26.11,40905.1,0.07,26588,142.11,0,8.36,-87.7,27.605,-1.234,-5.0,765.6
25.90435,-80.13026,10/25/2024,14:20:04,2.56,38339.0,-1.237,36323.3,108.3,108.2,7.55,-1.785,23.02,36518.9,2.70,23737,513.05,0,8.36,-87.8,27.609,-1.230,-5.2,765.7
25.90432,-80.13013,10/25/2024,14:20:09,9.41,39863.0,-1.236,37760.1,108.4,108.3,7.70,-1.786,24.03,37964.2,3.85,24677,81.73,0,8.36,-87.8,27.619,-1.239,-4.7,765.6
25.90430,-80.13000,10/25/2024,14:20:14,9.45,38679.8,-1.242,36614.7,108.7,108.6,7.67,-1.787,23.22,36815.2,4.53,23930,460.24,0,8.36,-87.9,27.652,-1.243,-3.8,765.7
25.90427,-80.12987,10/25/2024,14:20:19,12.83,29815.4,-1.239,28221.8,109.0,108.9,7.63,-1.786,17.42,28376.5,0.41,18445,862.82,0,8.36,-87.9,27.655,-1.241,-4.1,765.7
25.90425,-80.12972,10/25/2024,14:20:24,2.30,37416.5,-1.242,35414.0,109.0,108.9,7.60,-1.787,22.38,35608.4,5.03,23145,74.95,0,8.36,-87.9,27.658,-1.238,-2.5,765.7
25.90422,-80.12959,10/25/2024,14:20:29,7.86,32147.5,-1.239,30414.1,109.2,109.1,7.61,-1.787,18.92,30582.5,2.04,19879,304.41,0,8.36,-87.9,27.680,-1.235,-1.5,765.6
25.90420,-80.12945,10/25/2024,14:20:34,15.44,40227.1,-1.245,38039.6,109.4,109.3,7.57,-1.786,24.23,38252.1,4.71,24864,107.01,0,8.36,-87.9,27.704,-1.234,0.5,765.7
25.90417,-80.12930,10/25/2024,14:20:39,13.56,47080.1,-1.237,44537.9,109.6,109.5,7.47,-1.787,28.88,44784.8,8.16,29110,426.94,0,8.36,-88.0,27.683,-1.237,1.3,765.7
25.90415,-80.12917,10/25/2024,14:20:44,2.01,37503.0,-1.242,35529.9,109.2,109.1,7.54,-1.787,22.46,35721.4,6.54,23219,142.11,0,8.37,-88.3,27.609,-1.244,0.9,765.5
25.90412,-80.12903,10/25/2024,14:20:49,16.60,39234.1,-1.238,37208.6,108.5,108.4,7.50,-1.786,23.64,37405.1,3.38,24313,2008.29,0,8.37,-88.5,27.560,-1.228,1.2,765.7
25.90409,-80.12889,10/25/2024,14:20:54,11.16,40651.0,-1.238,38548.9,108.2,108.1,7.49,-1.786,24.58,38752.7,5.04,25189,691.68,0,8.38,-88.7,27.565,-1.242,0.7,765.5
25.90407,-80.12875,10/25/2024,14:20:59,3.96,35764.1,-1.236,33896.4,108.3,108.2,7.61,-1.784,21.32,34077.6,0.60,22150,111.74,0,8.38,-88.9,27.592,-1.227,0.3,765.5
25.90404,-80.12862,10/25/2024,14:21:04,3.84,38431.0,-1.241,36422.3,108.6,108.5,7.68,-1.784,23.09,36617.2,16.32,23801,702.63,0,8.38,-88.9,27.594,-1.235,-0.4,765.7
25.90402,-80.12849,10/25/2024,14:21:09,2.18,36715.1,-1.237,34796.0,108.7,108.6,7.68,-1.786,21.95,34982.2,2.47,22738,977.07,0,8.38,-88.7,27.594,-1.242,-1.4,765.7
25.90401,-80.12836,10/25/2024,14:21:14,8.51,42840.4,-1.235,40591.4,108.6,108.5,7.38,-1.786,26.04,40809.6,5.19,26526,218.15,0,8.37,-88.6,27.606,-1.233,-2.0,765.7
25.90399,-80.12823,10/25/2024,14:21:19,6.45,45524.8,-1.236,43117.6,108.4,108.3,7.38,-1.785,27.85,43351.2,4.57,28178,90.43,0,8.37,-88.5,27.625,-1.247,-2.5,765.7
25.90396,-80.12809,10/25/2024,14:21:24,5.52,43515.0,-1.234,41207.8,108.4,108.3,7.34,-1.784,26.48,41431.8,1.42,26931,143.07,0,8.37,-88.5,27.632,-1.233,-3.4,765.7
25.90393,-80.12796,10/25/2024,14:21:29,14.54,39671.3,-1.236,37568.5,108.5,108.5,7.41,-1.785,23.89,37772.6,4.32,24552,236.51,0,8.37,-88.6,27.632,-1.240,-4.4,765.7
25.90388,-80.12783,10/25/2024,14:21:34,6.84,43304.1,-1.233,41022.7,108.8,108.7,7.36,-1.783,26.35,41244.1,7.35,26809,116.17,0,8.38,-88.7,27.615,-1.228,-4.7,765.7
25.90381,-80.12772,10/25/2024,14:21:39,4.69,43622.1,-1.238,41339.3,108.8,108.7,7.59,-1.783,26.57,41560.8,2.29,27014,258.15,0,8.38,-88.8,27.596,-1.233,-5.8,765.7
25.90372,-80.12762,10/25/2024,14:21:44,14.93,40955.5,-1.236,38815.1,108.9,108.8,7.47,-1.784,24.77,39022.8,3.91,25365,137.13,0,8.38,-88.9,27.593,-1.244,-5.8,765.6
25.90363,-80.12753,10/25/2024,14:21:49,5.56,43194.2,-1.237,40922.4,109.1,109.0,7.55,-1.784,26.27,41142.8,10.63,26743,398.37,0,8.38,-88.9,27.610,-1.230,-5.6,765.7
25.90354,-80.12743,10/25/2024,14:21:54,4.49,34318.0,-1.240,32499.3,109.3,109.2,7.68,-1.785,20.35,32675.8,8.26,21239,324.86,0,8.38,-88.9,27.631,-1.246,-5.7,765.7
25.90345,-80.12733,10/25/2024,14:21:59,12.74,40158.9,-1.233,38033.6,109.4,109.4,7.39,-1.784,24.22,38239.9,4.71,24856,325.65,0,8.38,-89.0,27.627,-1.232,-5.4,765.7
25.90336,-80.12724,10/25/2024,14:22:04,8.19,45782.3,-1.232,43375.2,109.5,109.4,7.38,-1.783,28.03,43608.8,19.42,28346,170.13,0,8.38,-89.0,27.609,-1.219,-6.0,765.7
25.90327,-80.12717,10/25/2024,14:22:09,3.38,48271.6,-1.228,45749.7,109.6,109.5,7.31,-1.779,29.75,45994.4,-0.38,29896,140.72,0,8.38,-89.0,27.592,-1.195,-5.6,765.7
25.90320,-80.12712,10/25/2024,14:22:14,0.47,48289.0,-1.226,45771.0,109.7,109.6,7.33,-1.776,29.77,46015.2,2.90,29910,19.90,0,8.38,-89.1,27.587,-1.208,-5.3,765.6
25.90273,-80.12692,10/25/2024,14:23:12,0.67,49215.3,-1.228,47212.5,107.5,107.4,7.21,-1.780,30.79,47405.3,1.74,30813,3.08,0,8.39,-89.5,26.999,-1.052,-4.4,765.6
25.90271,-80.12691,10/25/2024,14:23:17,0.77,49372.1,-1.178,46942.1,108.4,108.3,7.23,-1.708,30.61,47177.3,1.03,30665,1.00,0,8.39,-89.5,27.446,-0.665,-4.9,765.6
25.90269,-80.12692,10/25/2024,14:23:22,0.79,49814.4,0.100,47222.6,108.7,108.7,7.22,0.145,30.83,47474.0,0.22,30858,-0.85,0,8.39,-89.6,27.581,-0.010,-5.1,765.7
25.90267,-80.12692,10/25/2024,14:23:27,0.82,50475.3,0.066,47881.4,109.2,109.1,7.23,0.095,31.31,48132.9,0.00,31286,-0.90,0,8.39,-89.7,27.547,0.068,-5.7,765.6
25.90264,-80.12693,10/25/2024,14:23:32,0.88,50969.1,0.148,48377.0,109.1,109.0,7.22,0.215,31.67,48628.2,0.00,31608,-0.92,0,8.40,-89.8,27.520,0.376,-5.5,765.6
25.90263,-80.12693,10/25/2024,14:23:37,0.88,51399.1,0.325,48804.9,108.9,108.8,7.19,0.471,31.98,49056.3,0.00,31887,-0.92,0,8.40,-90.0,27.500,0.779,-6.1,765.7
25.90261,-80.12693,10/25/2024,14:23:42,0.72,52414.8,0.482,49819.3,108.3,108.2,7.13,0.700,32.73,50070.6,-0.01,32546,-0.92,0,8.40,-90.3,27.450,0.976,-6.6,765.7
25.90259,-80.12694,10/25/2024,14:23:47,0.50,53667.6,0.612,51080.2,107.5,107.4,7.05,0.889,33.66,51330.5,-0.04,33365,-0.85,0,8.41,-90.7,27.384,1.072,-6.0,765.7
25.90257,-80.12695,10/25/2024,14:23:52,2.47,54335.3,0.698,51759.4,106.8,106.7,6.99,1.014,34.16,52008.5,0.16,33806,1.63,0,8.42,-91.1,27.342,1.142,-5.8,765.6
25.90254,-80.12695,10/25/2024,14:23:57,2.80,54403.1,0.762,51828.3,106.6,106.6,6.98,1.107,34.21,52077.2,0.72,33850,59.85,0,8.42,-91.4,27.338,1.109,-5.5,765.7
25.90252,-80.12695,10/25/2024,14:24:02,12.32,54385.9,0.815,51811.0,106.6,106.5,6.97,1.185,34.19,52059.9,1.22,33839,62.08,0,8.43,-91.7,27.339,1.045,-4.9,765.7
25.90250,-80.12696,10/25/2024,14:24:07,1.07,54324.0,0.931,51752.3,106.4,106.4,6.97,1.353,34.15,52000.9,1.49,33801,105.50,0,8.43,-91.7,27.339,0.986,-4.6,765.6
25.90249,-80.12697,10/25/2024,14:24:12,2.12,54248.1,1.008,51679.5,106.3,106.2,6.95,1.465,34.10,51927.9,1.20,33753,256.90,0,8.43,-91.5,27.339,0.927,-4.4,765.6
25.90248,-80.12697,10/25/2024,14:24:17,3.19,54164.0,1.031,51599.9,106.2,106.1,6.95,1.498,34.04,51847.9,0.77,33701,68.14,0,8.42,-91.4,27.339,0.945,-4.3,765.6
25.90246,-80.12697,10/25/2024,14:24:22,1.06,54093.4,1.020,51532.2,106.1,106.0,6.95,1.482,33.99,51779.9,0.62,33657,60.15,0,8.42,-91.2,27.339,0.883,-5.2,765.6
25.90244,-80.12698,10/25/2024,14:24:27,0.91,54023.2,0.989,51465.6,106.2,106.1,6.95,1.438,33.94,51712.9,0.57,33613,59.53,0,8.42,-91.2,27.339,0.798,-4.7,765.6
25.90244,-80.12698,10/25/2024,14:24:32,1.24,53931.7,0.948,51377.8,106.1,106.1,6.96,1.377,33.87,51624.7,0.52,33556,58.59,0,8.42,-91.2,27.340,0.764,-5.4,765.6
25.90242,-80.12698,10/25/2024,14:24:37,2.58,53724.4,0.899,51179.6,106.2,106.1,6.96,1.306,33.73,51425.6,0.42,33427,12.67,0,8.42,-91.2,27.340,0.780,-6.2,765.7
25.90241,-80.12699,10/25/2024,14:24:42,9.34,52301.8,0.883,49823.4,106.3,106.2,7.01,1.282,32.72,50063.0,0.98,32541,438.17,0,8.42,-91.2,27.341,1.155,-5.4,765.5
25.90239,-80.12701,10/25/2024,14:24:47,2.86,52361.6,0.914,49879.5,106.6,106.5,7.03,1.327,32.77,50119.5,1.77,32578,98.31,0,8.42,-91.2,27.342,1.232,-4.5,765.6
25.90237,-80.12701,10/25/2024,14:24:52,5.78,52372.1,0.957,49888.0,107.1,107.0,7.06,1.389,32.77,50128.2,2.35,32583,266.81,0,8.42,-91.3,27.344,1.290,-3.9,765.7
25.90236,-80.12702,10/25/2024,14:24:57,13.05,52409.1,1.007,49922.8,107.7,107.7,7.10,1.462,32.80,50163.2,3.58,32606,273.60,0,8.42,-91.4,27.344,1.333,-3.5,765.6
25.90234,-80.12703,10/25/2024,14:25:02,6.54,52470.7,1.074,49981.8,108.2,108.1,7.13,1.560,32.84,50222.5,3.21,32645,203.41,0,8.42,-91.4,27.344,1.390,-4.1,765.7
25.90234,-80.12703,10/25/2024,14:25:07,6.61,52512.0,1.150,50021.5,108.1,108.0,7.13,1.670,32.87,50262.3,2.96,32671,387.01,0,8.42,-91.5,27.343,1.392,-5.0,765.6
25.90232,-80.12704,10/25/2024,14:25:12,4.75,52507.4,1.236,50017.2,108.0,107.9,7.12,1.795,32.87,50258.0,2.73,32668,140.16,0,8.42,-91.5,27.343,1.452,-4.7,765.6
25.90231,-80.12706,10/25/2024,14:25:17,10.44,52451.5,1.324,49964.7,107.9,107.8,7.11,1.922,32.83,50205.1,2.66,32633,264.61,0,8.42,-91.4,27.343,1.482,-4.1,765.6
25.90231,-80.12705,10/25/2024,14:25:22,3.70,52400.3,1.374,49917.5,107.9,107.8,7.11,1.995,32.79,50157.6,2.57,32602,147.63,0,8.42,-91.4,27.341,1.526,-6.2,765.7
25.90230,-80.12705,10/25/2024,14:25:27,14.73,52373.0,1.414,49891.2,107.8,107.7,7.11,2.054,32.77,50131.2,2.63,32585,327.43,0,8.42,-91.4,27.341,1.531,-7.6,765.6
25.90229,-80.12706,10/25/2024,14:25:32,8.81,52365.4,1.451,49880.9,107.9,107.8,7.11,2.106,32.77,50121.1,2.81,32579,202.39,0,8.42,-91.5,27.344,1.615,-8.2,765.6
25.90229,-80.12707,10/25/2024,14:25:37,3.82,52338.1,1.489,49850.3,108.3,108.2,7.14,2.161,32.74,50090.8,1.78,32559,98.09,0,8.43,-91.6,27.349,1.655,-9.5,765.6
25.90229,-80.12708,10/25/2024,14:25:42,5.73,52341.8,1.532,49851.3,108.9,108.8,7.18,2.224,32.75,50092.1,1.50,32560,253.34,0,8.43,-91.6,27.351,1.717,-8.7,765.6
25.90230,-80.12709,10/25/2024,14:25:47,6.02,52365.1,1.572,49872.6,109.1,109.0,7.19,2.283,32.76,50113.6,1.75,32574,462.88,0,8.43,-91.7,27.352,1.683,-8.8,765.7
25.90233,-80.12711,10/25/2024,14:25:52,3.02,52384.7,1.602,49890.0,109.1,109.0,7.19,2.327,32.77,50131.3,1.67,32585,185.16,0,8.43,-91.7,27.353,1.637,-8.8,765.7
25.90232,-80.12712,10/25/2024,14:25:57,2.95,52380.7,1.617,49886.0,109.0,108.9,7.18,2.349,32.77,50127.3,1.43,32583,123.44,0,8.43,-91.7,27.354,1.579,-7.6,765.6
25.90232,-80.12712,10/25/2024,14:26:02,5.17,52376.1,1.623,49881.2,108.8,108.7,7.17,2.357,32.77,50122.5,1.29,32580,233.81,0,8.43,-91.6,27.354,1.539,-8.4,765.6
25.90230,-80.12714,10/25/2024,14:26:07,8.00,52361.6,1.619,49869.4,108.5,108.4,7.16,2.351,32.76,50110.4,1.28,32572,224.17,0,8.43,-91.6,27.352,1.497,-6.0,765.7
25.90228,-80.12712,10/25/2024,14:26:12,11.47,52341.2,1.603,49852.2,108.3,108.2,7.14,2.327,32.75,50092.9,1.90,32560,683.56,0,8.43,-91.6,27.350,1.457,-9.7,765.6
25.90226,-80.12714,10/25/2024,14:26:17,8.24,52293.9,1.571,49809.1,108.0,107.9,7.12,2.282,32.71,50049.3,6.23,32532,408.45,0,8.42,-91.5,27.348,1.417,-7.8,765.6
25.90224,-80.12716,10/25/2024,14:26:22,12.02,52198.1,1.530,49717.7,107.8,107.7,7.11,2.222,32.65,49957.5,5.92,32472,514.77,0,8.42,-91.5,27.348,1.396,-8.7,765.7
25.90222,-80.12717,10/25/2024,14:26:27,1.06,52076.6,1.481,49603.5,107.5,107.5,7.10,2.150,32.56,49842.6,0.53,32398,508.54,0,8.42,-91.4,27.347,1.235,-9.0,765.7
25.90218,-80.12717,10/25/2024,14:26:32,0.50,52228.1,0.464,49753.5,107.0,106.9,7.06,0.674,32.67,49992.8,0.06,32495,296.67,0,8.42,-91.3,27.341,0.509,-8.5,765.6
25.90212,-80.12717,10/25/2024,14:26:37,0.48,52542.1,0.059,50052.1,106.2,106.2,7.00,0.086,32.89,50292.9,-0.02,32690,-1.32,0,8.42,-91.2,27.341,-0.069,-7.1,765.7
25.90207,-80.12716,10/25/2024,14:26:42,0.49,52642.0,-0.109,50112.3,105.8,105.7,6.97,-0.159,32.94,50357.0,-0.06,32732,-0.85,0,8.41,-90.9,27.377,-0.266,-6.4,765.6
25.90200,-80.12716,10/25/2024,14:26:47,0.54,52438.8,-0.169,49872.0,105.9,105.8,6.97,-0.245,32.76,50120.5,-0.05,32578,-0.90,0,8.41,-90.7,27.422,-0.287,-4.1,765.7
25.90194,-80.12714,10/25/2024,14:26:52,0.57,52323.0,-0.233,49727.7,106.3,106.2,7.00,-0.338,32.66,49979.0,-0.06,32486,-0.88,0,8.41,-90.4,27.456,-0.570,-3.5,765.6
25.90187,-80.12712,10/25/2024,14:26:57,0.60,51665.5,-1.128,49051.5,106.9,106.8,7.05,-1.637,32.16,49304.8,-0.05,32048,-0.74,0,8.40,-90.1,27.508,-1.096,-3.6,765.6
25.90181,-80.12709,10/25/2024,14:27:02,0.99,49143.6,-1.198,46611.2,107.7,107.7,7.16,-1.738,30.38,46856.7,0.46,30457,6.58,0,8.39,-89.8,27.556,-1.231,-3.7,765.7
25.90174,-80.12706,10/25/2024,14:27:07,0.68,49589.2,-1.203,47006.5,108.6,108.5,7.24,-1.743,30.67,47257.0,0.97,30717,76.62,0,8.39,-89.5,27.584,-1.219,-4.3,765.6
25.90167,-80.12703,10/25/2024,14:27:12,1.87,50224.7,-1.206,47614.0,108.8,108.8,7.24,-1.749,31.11,47867.2,1.36,31114,21.85,0,8.39,-89.3,27.579,-1.200,-4.3,765.6
25.90161,-80.12701,10/25/2024,14:27:17,0.87,49442.4,-1.209,46874.1,108.9,108.8,7.24,-1.753,30.57,47123.2,1.80,30630,1.82,0,8.38,-89.1,27.577,-1.217,-4.4,765.6
25.90130,-80.12692,10/25/2024,14:27:40,0.15,458.7,-1.257,441.9,102.2,102.1,8.16,-1.782,0.21,443.5,2.56,288,7.81,0,7.80,-54.1,26.799,-1.259,-6.1,765.6
25.90102,-80.12768,10/25/2024,14:33:54,0.22,54921.2,-0.281,52314.4,104.1,104.0,6.79,-0.409,34.57,52566.5,0.58,34168,-0.64,0,8.42,-91.4,27.345,-0.404,-3.1,765.6
